day,step,power
226,78,1188.1268568033274
226,79,1187.99385026738
226,80,1187.8608437314322
226,81,1187.7278371954844
226,82,1187.5948306595362
226,83,1187.461824123589
226,84,1187.328817587641
226,85,1187.1958110516932
226,86,1187.0628045157457
226,87,1186.9297979797975
226,88,1186.7967914438502
226,89,1186.6637849079025
226,90,1186.5307783719545
226,91,1186.397771836007
226,92,1186.2647653000593
226,93,1186.1317587641115
226,94,1185.9987522281638
226,95,1185.8657456922165
227,0,1185.7327391562685
227,1,1185.5997326203208
227,2,1185.4667260843732
227,3,1185.3337195484255
227,4,1185.2007130124778
227,5,1185.06770647653
227,6,1184.9346999405825
227,7,1184.8016934046343
227,8,1184.6686868686868
227,9,1184.5356803327393
227,10,1184.4026737967915
227,11,1184.2696672608436
227,12,1184.136660724896
227,13,1184.0036541889483
227,14,1183.8706476530006
227,15,1183.7376411170533
227,16,1183.6046345811053
227,17,1183.471628045157
227,18,1183.3386215092098
227,19,1183.2056149732618
227,20,1183.0726084373143
227,21,1182.9396019013666
227,22,1182.8065953654188
227,23,1182.673588829471
227,24,1182.5405822935236
227,25,1182.4075757575758
227,26,1182.2745692216283
227,27,1182.1415626856804
227,28,1182.0085561497328
227,29,1181.875549613785
227,30,1181.7425430778374
227,31,1181.6095365418896
227,32,1181.476530005942
227,33,1181.343523469994
227,34,1181.2105169340464
227,35,1181.0775103980986
227,36,1180.944503862151
227,37,1180.8114973262032
227,38,1180.6784907902554
227,39,1180.545484254308
227,40,1180.41247771836
227,41,1180.2794711824122
227,42,1180.1464646464644
227,43,1180.0134581105167
227,44,1179.880451574569
227,45,1179.7474450386214
227,46,1179.6144385026737
227,47,1179.481431966726
227,48,1179.3484254307784
227,49,1179.2154188948307
227,50,1179.082412358883
227,51,1178.9494058229354
227,52,1178.8163992869877
227,53,1178.68339275104
227,54,1178.5503862150922
227,55,1178.4173796791445
227,56,1178.2843731431967
227,57,1178.1513666072492
227,58,1178.0183600713012
227,59,1177.8853535353535
227,60,1177.7523469994055
227,61,1177.619340463458
227,62,1177.4863339275105
227,63,1177.3533273915627
227,64,1177.220320855615
227,65,1177.0873143196673
227,66,1176.9543077837195
227,67,1176.8213012477718
227,68,1176.688294711824
227,69,1176.5552881758765
227,70,1176.422281639929
227,71,1176.289275103981
227,72,1176.1562685680335
227,73,1176.0232620320858
227,74,1175.890255496138
227,75,1175.7572489601905
227,76,1175.6242424242423
227,77,1175.4912358882948
227,78,1175.3582293523473
227,79,1175.2252228163995
227,80,1175.0922162804518
227,81,1174.959209744504
227,82,1174.8262032085563
227,83,1174.6931966726083
227,84,1174.5601901366606
227,85,1174.4271836007129
227,86,1174.294177064765
227,87,1174.1611705288176
227,88,1174.0281639928698
227,89,1173.895157456922
227,90,1173.7621509209746
227,91,1173.6291443850268
227,92,1173.496137849079
227,93,1173.3631313131314
227,94,1173.2301247771836
227,95,1173.097118241236
228,0,1172.964111705288
228,1,1172.8311051693404
228,2,1172.6980986333926
228,3,1172.5650920974451
228,4,1172.4320855614972
228,5,1172.2990790255494
228,6,1172.166072489602
228,7,1172.0330659536542
228,8,1171.9000594177066
228,9,1171.767052881759
228,10,1171.6340463458112
228,11,1171.5010398098632
228,12,1171.3680332739157
228,13,1171.235026737968
228,14,1171.1020202020202
228,15,1170.9690136660722
228,16,1170.8360071301247
228,17,1170.703000594177
228,18,1170.5699940582292
228,19,1170.4369875222817
228,20,1170.303980986334
228,21,1170.1709744503862
228,22,1170.0379679144387
228,23,1169.904961378491
228,24,1169.7719548425432
228,25,1169.6389483065957
228,26,1169.505941770648
228,27,1169.3729352347002
228,28,1169.2399286987525
228,29,1169.1069221628047
228,30,1168.9739156268572
228,31,1168.8409090909092
228,32,1168.7079025549615
228,33,1168.5748960190135
228,34,1168.4418894830662
228,35,1168.3088829471185
228,36,1168.1758764111703
228,37,1168.0428698752228
228,38,1167.9098633392748
228,39,1167.7768568033273
228,40,1167.6438502673795
228,41,1167.5108437314318
228,42,1167.377837195484
228,43,1167.2448306595363
228,44,1167.1118241235888
228,45,1166.978817587641
228,46,1166.845811051693
228,47,1166.7128045157456
228,48,1166.579797979798
228,49,1166.4467914438503
228,50,1166.3137849079026
228,51,1166.180778371955
228,52,1166.047771836007
228,53,1165.9147653000598
228,54,1165.7817587641118
228,55,1165.648752228164
228,56,1165.5157456922163
228,57,1165.3827391562688
228,58,1165.2497326203209
228,59,1165.116726084373
228,60,1164.9837195484254
228,61,1164.850713012478
228,62,1164.71770647653
228,63,1164.584699940582
228,64,1164.4516934046346
228,65,1164.3186868686869
228,66,1164.1856803327391
228,67,1164.0526737967914
228,68,1163.9196672608437
228,69,1163.786660724896
228,70,1163.6536541889482
228,71,1163.5206476530004
228,72,1163.387641117053
228,73,1163.2546345811052
228,74,1163.121628045158
228,75,1162.98862150921
228,76,1162.8556149732622
228,77,1162.7226084373144
228,78,1162.5896019013664
228,79,1162.456595365419
228,80,1162.3235888294712
228,81,1162.1905822935234
228,82,1162.0575757575757
228,83,1161.924569221628
228,84,1161.7915626856802
228,85,1161.6585561497325
228,86,1161.5255496137847
228,87,1161.3925430778372
228,88,1161.2595365418897
228,89,1161.126530005942
228,90,1160.993523469994
228,91,1160.8605169340465
228,92,1160.7275103980987
228,93,1160.594503862151
228,94,1160.4614973262032
228,95,1160.3284907902553
229,0,1160.1954842543078
229,1,1160.06247771836
229,2,1159.9294711824125
229,3,1159.7964646464648
229,4,1159.663458110517
229,5,1159.530451574569
229,6,1159.3974450386215
229,7,1159.2644385026738
229,8,1159.131431966726
229,9,1158.998425430778
229,10,1158.8654188948306
229,11,1158.7324123588828
229,12,1158.5994058229353
229,13,1158.4663992869876
229,14,1158.3333927510398
229,15,1158.200386215092
229,16,1158.0673796791443
229,17,1157.9343731431966
229,18,1157.801366607249
229,19,1157.668360071301
229,20,1157.5353535353536
229,21,1157.4023469994058
229,22,1157.2693404634583
229,23,1157.1363339275103
229,24,1157.0033273915628
229,25,1156.870320855615
229,26,1156.7373143196676
229,27,1156.6043077837198
229,28,1156.471301247772
229,29,1156.3382947118243
229,30,1156.2052881758768
229,31,1156.0722816399286
229,32,1155.9392751039811
229,33,1155.8062685680334
229,34,1155.6732620320854
229,35,1155.540255496138
229,36,1155.40724896019
229,37,1155.2742424242424
229,38,1155.1412358882944
229,39,1155.008229352347
229,40,1154.8752228163992
229,41,1154.7422162804517
229,42,1154.6092097445037
229,43,1154.4762032085564
229,44,1154.3431966726084
229,45,1154.210190136661
229,46,1154.0771836007132
229,47,1153.9441770647654
229,48,1153.8111705288177
229,49,1153.67816399287
229,50,1153.5451574569222
229,51,1153.412150920975
229,52,1153.2791443850267
229,53,1153.146137849079
229,54,1153.0131313131312
229,55,1152.8801247771842
229,56,1152.747118241236
229,57,1152.6141117052882
229,58,1152.4811051693405
229,59,1152.3480986333927
229,60,1152.2150920974452
229,61,1152.0820855614977
229,62,1151.9490790255495
229,63,1151.8160724896018
229,64,1151.6830659536542
229,65,1151.5500594177065
229,66,1151.417052881759
229,67,1151.284046345811
229,68,1151.1510398098633
229,69,1151.0180332739155
229,70,1150.885026737968
229,71,1150.75202020202
229,72,1150.6190136660723
229,73,1150.4860071301246
229,74,1150.3530005941766
229,75,1150.2199940582288
229,76,1150.086987522281
229,77,1149.9539809863336
229,78,1149.820974450386
229,79,1149.6879679144383
229,80,1149.5549613784908
229,81,1149.421954842543
229,82,1149.288948306595
229,83,1149.1559417706476
229,84,1149.0229352346998
229,85,1148.8899286987523
229,86,1148.7569221628046
229,87,1148.6239156268568
229,88,1148.490909090909
229,89,1148.3579025549616
